feature,importance
url_entropy,7009
hostname_entropy,6741
unique_char_ratio,4439
avg_word_len,2606
max_consecutive_letters,2403
length_url,2200
digit_ratio,1594
shortest_word_len,1448
longest_word_len,1413
avg_host_word_len,1201
digit_count,1173
nb_dots,1035
length_hostname,805
contains_www,698
nb_hyphens,652
uses_https,615
raw_token_count,598
suspicious_tld,565
max_consecutive_digits,419
nb_slash,417
has_shortener,340
length_path,190
subdomain_count,157
keyword_count,126
host_token_count,78
prefix_suffix,71
punycode,67
has_keyword_account,45
count_char_45,32
has_keyword_update,25
has_keyword_secure,17
path_depth,4
has_keyword_login,2
path_token_count,1
length_query,0
nb_underscore,0
nb_percent,0
nb_at,0
nb_colon,0
nb_eq,0
has_double_slash_in_path,0
has_port,0
query_param_count,0
has_ip_address,0
nb_ampersand,0
nb_qm,0
has_file_extension_in_path,0
contains_hex_pattern,0
contains_http_token_in_path,0
contains_encoded_chars,0
contains_javascript_token,0
has_keyword_verify,0
count_char_64,0
count_char_37,0
count_char_95,0
avg_path_word_len,0
